2025-11-27 17:15:36.818866  |  [OK] KALYANKJIL   | TF:D
2025-11-27 17:15:37.417210  |  [OK] BLUESTARCO   | TF:D
2025-11-27 17:15:37.751262  |  [OK] KAYNES       | TF:D
2025-11-27 17:15:38.398270  |  [OK] BOSCHLTD     | TF:D
2025-11-27 17:15:38.936470  |  [OK] KEI          | TF:D
2025-11-27 17:15:39.404974  |  [OK] BPCL         | TF:D
2025-11-27 17:15:39.750847  |  [OK] KFINTECH     | TF:D
2025-11-27 17:15:40.622845  |  [OK] PIDILITIND   | TF:W
2025-11-27 17:15:40.835572  |  [OK] KOTAKBANK    | TF:D
2025-11-27 17:15:41.266860  |  [OK] PERSISTENT   | TF:W
2025-11-27 17:15:41.825526  |  [OK] KPITTECH     | TF:D
2025-11-27 17:15:42.492660  |  [OK] PETRONET     | TF:W
2025-11-27 17:15:42.883808  |  [OK] LAURUSLABS   | TF:D
2025-11-27 17:15:43.461989  |  [OK] LTIM         | TF:W
2025-11-27 17:15:44.050289  |  [OK] LICHSGFIN    | TF:D
2025-11-27 17:15:44.533321  |  [OK] INDIANB      | TF:W
2025-11-27 17:15:44.774319  |  [OK] LICI         | TF:D
2025-11-27 17:15:45.580683  |  [OK] INDHOTEL     | TF:W
2025-11-27 17:15:45.813441  |  [OK] LODHA        | TF:D
2025-11-27 17:15:46.581201  |  [OK] HFCL         | TF:W
2025-11-27 17:15:46.848449  |  [OK] LT           | TF:D
2025-11-27 17:15:47.502505  |  [OK] HAVELLS      | TF:W
2025-11-27 17:15:47.903720  |  [OK] LTF          | TF:D
2025-11-27 17:15:48.491497  |  [OK] BRITANNIA    | TF:W
2025-11-27 17:15:48.957404  |  [OK] LUPIN        | TF:D
2025-11-27 17:15:49.435035  |  [OK] BSE          | TF:W
2025-11-27 17:15:49.901394  |  [OK] M&M          | TF:D
2025-11-27 17:15:50.458860  |  [OK] CAMS         | TF:W
2025-11-27 17:15:50.886988  |  [OK] MANAPPURAM   | TF:D
2025-11-27 17:15:51.585781  |  [OK] CANBK        | TF:W
2025-11-27 17:15:51.749725  |  [OK] MANKIND      | TF:D
2025-11-27 17:15:52.408450  |  [OK] CDSL         | TF:W
2025-11-27 17:15:52.883784  |  [OK] MARICO       | TF:D
2025-11-27 17:15:53.537158  |  [OK] CGPOWER      | TF:W
2025-11-27 17:15:53.888003  |  [OK] MARUTI       | TF:D
2025-11-27 17:15:54.623906  |  [OK] CHOLAFIN     | TF:W
2025-11-27 17:15:54.830637  |  [OK] MAXHEALTH    | TF:D
2025-11-27 17:15:55.558415  |  [OK] CIPLA        | TF:W
2025-11-27 17:15:55.827473  |  [OK] MAZDOCK      | TF:D
2025-11-27 17:15:56.525194  |  [OK] COALINDIA    | TF:W
2025-11-27 17:15:56.842304  |  [OK] MCX          | TF:D
2025-11-27 17:15:57.479672  |  [OK] COFORGE      | TF:W
2025-11-27 17:15:57.900668  |  [OK] MFSL         | TF:D
2025-11-27 17:15:58.457873  |  [OK] COLPAL       | TF:W
2025-11-27 17:15:58.913191  |  [OK] MOTHERSON    | TF:D
2025-11-27 17:15:59.595246  |  [OK] CONCOR       | TF:W
2025-11-27 17:15:59.832926  |  [OK] MPHASIS      | TF:D
2025-11-27 17:16:00.480573  |  [OK] CROMPTON     | TF:W
2025-11-27 17:16:00.885374  |  [OK] MUTHOOTFIN   | TF:D
2025-11-27 17:16:01.631372  |  [OK] CUMMINSIND   | TF:W
2025-11-27 17:16:01.901388  |  [OK] NATIONALUM   | TF:D
2025-11-27 17:16:02.249118  |  [OK] CYIENT       | TF:W
2025-11-27 17:16:02.832767  |  [OK] NAUKRI       | TF:D
2025-11-27 17:16:03.523949  |  [OK] DABUR        | TF:W
2025-11-27 17:16:03.995744  |  [OK] NBCC         | TF:D
2025-11-27 17:16:04.524703  |  [OK] DALBHARAT    | TF:W
2025-11-27 17:16:04.890292  |  [OK] NCC          | TF:D
2025-11-27 17:16:05.442032  |  [OK] DELHIVERY    | TF:W
2025-11-27 17:16:05.899291  |  [OK] NESTLEIND    | TF:D
2025-11-27 17:16:06.589163  |  [OK] DIVISLAB     | TF:W
2025-11-27 17:16:06.889627  |  [OK] NMDC         | TF:D
2025-11-27 17:16:07.443815  |  [OK] DIXON        | TF:W
2025-11-27 17:16:07.955753  |  [OK] NTPC         | TF:D
2025-11-27 17:16:08.477219  |  [OK] DLF          | TF:W
2025-11-27 17:16:08.746563  |  [OK] NUVAMA       | TF:D
2025-11-27 17:16:09.626796  |  [OK] DMART        | TF:W
2025-11-27 17:16:09.824749  |  [OK] NYKAA        | TF:D
2025-11-27 17:16:10.573069  |  [OK] DRREDDY      | TF:W
2025-11-27 17:16:11.006385  |  [OK] OBEROIRLTY   | TF:D
2025-11-27 17:16:11.541573  |  [OK] EICHERMOT    | TF:W
2025-11-27 17:16:11.881367  |  [OK] OFSS         | TF:D
2025-11-27 17:16:12.197835  |  [OK] ETERNAL      | TF:W
2025-11-27 17:16:12.994008  |  [OK] OIL          | TF:D
2025-11-27 17:16:13.556199  |  [OK] EXIDEIND     | TF:W
